Community,Functional Class,Change_in_Speed,Change_in_Volume,Change_in_Accidents
abington,Arterial,3.711237582,-72554,-60
acushnet,Arterial,-2.326000106,7477,-11
acushnet,Collector,0.8824871788,9515,2
adams,Arterial,3.916121588,-292144,-4
agawam,Arterial,1.915906665,-49674,-8
agawam,Freeway & Expressway,8.274216598,4867679,-12
amesbury,Freeway & Expressway,-13.62679599,13530,-3
amherst,Arterial,2.463944107,5369,5
amherst,Collector,0.9817050449,1868,NA
andover,Arterial,-10.43785435,-2239795,-85
andover,Interstate,28.14577748,85770620,-5
athol,Arterial,-9.216214673,-1007,-9
attleboro,Arterial,1.160194845,-3690,-50
attleboro,Collector,4.511025968,-68774,-9
attleboro,Interstate,12.67055413,24992962,-2
auburn,Arterial,3.995219488,1742617,-26
auburn,Interstate,1.606261813,1003260,-17
avon,Arterial,-1.489045471,118330,18
avon,Collector,1.031024664,-1093,NA
avon,Freeway & Expressway,3.669208969,12211493,NA
barnstable,Arterial,-5.528533836,-54058,-81
barnstable,Collector,-2.403502219,-161055,0
barnstable,Local Road,9.402423336,-2872,-1
barre,Arterial,4.740429901,-30359,1
barre,Collector,-10.66746124,2694,-4
becket,Arterial,2.222226467,-4704,NA
belchertown,Arterial,-3.505438811,26285,-1
berlin,Arterial,1.452102861,44803,-13
bernardston,Arterial,18.99304079,1760144,NA
bernardston,Collector,2.985551726,-4567,NA
beverly,Freeway & Expressway,-22.37087359,2112522,23
billerica,Arterial,3.563909432,-36403,-20
billerica,Collector,2.129675015,-5025,NA
blackstone,Arterial,-1.981053213,21349,-13
blandford,Interstate,0.01022891804,-2790749,-3
boston,Arterial,2.410546106,-533791,-7
boston,Freeway & Expressway,4.468365538,-11089344,8
boston,Interstate,6.867029886,-24625380,-327
bourne,Arterial,8.428543945,32057,-22
bourne,Freeway & Expressway,10.46526321,6114772,2
boylston,Arterial,-0.4894267724,31077,-5
bridgewater,Arterial,-1.449288091,-6323,-21
brockton,Arterial,-1.807805799,-2286594,-7
brockton,Collector,8.877341665,577,5
brockton,Freeway & Expressway,-12.84404583,-7438318,NA
brockton,Local Road,2.793246757,10276,21
brookfield,Collector,-2.640799747,3810,NA
buckland,Collector,4.426277039,11036,NA
burlington,Interstate,2.363671527,28649065,NA
carver,Arterial,13.28629398,102987,NA
charlton,Interstate,1.259998325,-9031320,NA
chelmsford,Arterial,1.832856479,-106930,1
chester,Arterial,1.753257085,3740,NA
chicopee,Arterial,-3.350096642,74262,29
clarksburg,Arterial,0.544179286,-2634,NA
clarksburg,Collector,2.321193985,182824,NA
colrain,Arterial,4.188936269,-6532,NA
concord,Arterial,20.72271898,-5442295,NA
dalton,Arterial,4.728686869,15814,NA
dartmouth,Arterial,-2.701584895,-25099,-14
dartmouth,Collector,1.988707222,-7535,5
dedham,Arterial,0.2605373975,52081,-7
dennis,Arterial,2.30610621,-3407,-11
dighton,Arterial,9.365814575,20662,1
dracut,Arterial,1.257299305,98607,-6
dunstable,Arterial,-8.165024216,-5215,NA
duxbury,Arterial,9.150990649,-57297,0
east bridgewater,Arterial,-2.971177849,83484,-17
east longmeadow,Collector,-8.262892789,11381,NA
easthampton,Arterial,-2.715432395,36573,-13
easthampton,Collector,-0.8969776805,10006,NA
easton,Arterial,0.3662437277,-35933,25
easton,Collector,2.069331684,-2722,6
edgartown,Arterial,-0.7575247172,5742888,NA
erving,Arterial,13.41512601,50714,-1
erving,Collector,-7.401540832,-1122,NA
fairhaven,Arterial,-1.172867932,3372,-8
fairhaven,Collector,7.400040168,-20302,NA
fall river,Arterial,8.12641518,258379,-62
fall river,Collector,3.297102521,44512,-14
falmouth,Arterial,-2.5031963,-56682,-11
falmouth,Collector,-3.082328246,1338,NA
fitchburg,Arterial,9.876315219,-4715,-184
florida,Arterial,-9.575033239,-4828,NA
foxborough,Interstate,33.85007354,28399401,-31
framingham,Collector,-2.905485145,13095,-6
framingham,Interstate,3.714907991,-12103259,NA
franklin,Arterial,2.966971336,-34308,-14
freetown,Arterial,-9.239489356,23355,3
freetown,Collector,0.2035649902,-6832,NA
georgetown,Interstate,1.521247925,13413376,NA
greenfield,Arterial,-3.809699491,-32818,-8
greenfield,Collector,4.669636345,-83175,NA
greenfield,Freeway & Expressway,5.809399577,-1914,0
groton,Arterial,-1.806436214,31890,-2
hadley,Arterial,1.111280613,7001,-33
hancock,Collector,2.367422805,878737,NA
hanover,Arterial,-1.999638046,-186723,NA
hanson,Arterial,-0.9977279343,-20539,2
hardwick,Arterial,2.208787561,1279,0
hatfield,Interstate,1.790228487,-4174432,NA
haverhill,Arterial,3.796970988,1775962,-80
haverhill,Local Road,4.508906497,-1489,-4
hawley,Collector,-3.219613116,-4101,0
hingham,Arterial,1.94051735,-70692,-12
holden,Arterial,9.400660816,-58390,-43
holliston,Arterial,1.825497783,47782,-7
holyoke,Arterial,-2.126680372,97577,-44
holyoke,Collector,0.124838771,6348,-2
hopedale,Arterial,2.478211524,25,1
hopkinton,Arterial,0.1970765516,-42815,-7
hopkinton,Interstate,24.69400742,-9831287,-3
hubbardston,Arterial,-3.947983892,-5703,8
hudson,Arterial,9.104238381,-21759,8
huntington,Arterial,-5.170012694,21400,NA
kingston,Arterial,-4.795630544,-8441,-16
lakeville,Arterial,-1.602486908,-49651,-9
lanesborough,Arterial,-1.140888746,84315,-4
lee,Arterial,11.1269264,1174921,NA
lee,Interstate,0.2995903894,292391,NA
lenox,Arterial,0.5281638857,6051527,2
leominster,Arterial,9.51378,63242,-54
leyden,Collector,3.90987131,-4846,NA
lowell,Arterial,1.123492301,-163316,-120
lowell,Freeway & Expressway,11.19003379,2711778,16
ludlow,Arterial,-10.55723414,-26321,-7
ludlow,Interstate,0.5982565213,-1541240,NA
lunenburg,Arterial,5.744545916,-9864,-46
lynnfield,Interstate,5.225253837,13258566,-1
mansfield,Arterial,22.7102828,103158,-78
mansfield,Collector,-1.443401162,-14177,-1
mansfield,Interstate,32.32748663,13599552,-54
marlborough,Interstate,28.3027805,16422169,-6
marshfield,Arterial,1.014618197,-27959,3
mashpee,Collector,1.273143418,-844,NA
medway,Interstate,1.576145721,4898388,NA
methuen,Arterial,-8.743623555,115282,-27
methuen,Freeway & Expressway,7.597964756,497872,3
middleborough,Arterial,0.8347369225,-129565,6
middleborough,Collector,6.931030404,-19599,3
milford,Arterial,3.671656313,24969,-2
milton,Arterial,-3.134794925,-848,-34
monson,Arterial,-4.922571028,-2379,NA
montague,Arterial,1.09290712,-152641,NA
montague,Collector,-0.3882063441,-55602,NA
natick,Collector,-3.746624853,4746,NA
needham,Arterial,-1.887890421,-48167,7
new bedford,Arterial,1.460178789,NA,7
new bedford,Collector,-4.058094782,4532,-8
new bedford,Interstate,3.7948293,6295814,5
new marlborough,Collector,-4.82309673,188,NA
newbury,Interstate,-0.6537417733,5505764,NA
newton,Interstate,5.577146529,-15596434,-3
north adams,Arterial,9.355347833,-51099,-16
north adams,Collector,1.329067922,-13188,-21
north andover,Arterial,-0.5418652351,NA,-33
north attleborough,Arterial,12.3719806,52186,-48
north attleborough,Collector,-7.543464986,-7847,-8
northampton,Arterial,1.901860389,103734,-51
northampton,Interstate,2.642568284,11105174,NA
northampton,Local Road,1.265893492,-7472,3
northborough,Collector,0.6709038723,-64422,-5
northfield,Arterial,2.362343104,-197946,NA
northfield,Collector,-2.816226216,-9453,NA
northfield,Local Road,-2.513325329,-6550,NA
norton,Collector,-1.632613882,58941,NA
oak bluffs,Arterial,-3.52049661,1358322,NA
orange,Collector,0.07079411222,4355,NA
paxton,Arterial,3.559425027,38823,-9
pelham,Collector,-5.935794547,2225,NA
pembroke,Local Road,1.923338294,-6552,NA
petersham,Arterial,6.224575465,-5733,NA
pittsfield,Arterial,-11.83575322,1052071,25
pittsfield,Local Road,-0.06463883593,1054,2
plainville,Arterial,18.37374771,2746505,13
plymouth,Collector,2.133783812,34051,-7
provincetown,Arterial,1.487232481,-69200,-17
provincetown,Collector,18.37070544,-44881,NA
randolph,Arterial,-1.700020119,-13830,-20
raynham,Arterial,-2.815555842,3514,-8
rehoboth,Arterial,1.10875815,2507566,3
revere,Freeway & Expressway,3.187544947,10191594,-6
rochester,Collector,4.431860265,44587,-3
rockland,Arterial,-13.66903787,20347,-1
russell,Arterial,5.436310181,-145534,NA
rutland,Arterial,-2.642213858,-3564,-17
salisbury,Interstate,3.030699483,21852536,1
sandisfield,Arterial,8.210689143,72809,NA
sandwich,Collector,-1.514120049,5152,NA
scituate,Arterial,-6.892960189,-30521,0
seekonk,Collector,5.551951051,-2290,NA
sharon,Interstate,3.522253705,-4483690,NA
sheffield,Arterial,0.6353346357,564583,NA
shelburne,Arterial,-4.868309017,-10788,-2
sherborn,Arterial,9.32947917,-66465,NA
shrewsbury,Arterial,8.569367175,-52323,-34
shrewsbury,Collector,0.7868692805,-48527,-5
shutesbury,Collector,1.109551039,-27493,NA
somerset,Arterial,7.583091157,-12156,-5
somerset,Collector,3.032025594,-52675,5
south hadley,Arterial,4.4096232,126550,-9
south hadley,Collector,-1.272034509,-528,NA
southborough,Collector,-3.248843908,3036,0
southborough,Interstate,3.419036086,-10788618,NA
southbridge,Arterial,-10.35388187,-48754,-31
southbridge,Collector,-0.5057058416,10636,6
southwick,Arterial,0.958504405,52882,-3
southwick,Collector,0.135130107,3827,NA
spencer,Arterial,7.852011107,-196263,-3
springfield,Arterial,-1.302833852,-62504,-88
springfield,Collector,0.873589735,8065,4
springfield,Freeway & Expressway,-7.373326175,-34423,-25
springfield,Interstate,3.025548853,54877153,-5
stockbridge,Arterial,-6.877666651,12623,0
stoneham,Interstate,5.402477355,20239699,NA
stoughton,Arterial,-5.222137589,-99561,-48
sturbridge,Interstate,11.24712668,26360631,-19
sunderland,Collector,5.68248086,-7561,NA
swansea,Arterial,-5.65453505,-77326,-28
swansea,Collector,-2.111913626,-47122,-3
taunton,Arterial,-6.201498026,171326,-3
taunton,Collector,-0.1149874672,-121751,6
tewksbury,Arterial,-1.642864565,4779,-29
tewksbury,Collector,-3.093685072,12628,2
tolland,Local Road,-1.570774497,-2231,NA
upton,Arterial,-0.8207226231,-585,-9
uxbridge,Arterial,-12.71999247,21687,8
waltham,Interstate,19.67040809,22715102,-15
ware,Arterial,5.452610442,17795,-6
wareham,Arterial,-1.011013274,-158926,-14
wareham,Interstate,18.64647668,5241387,0
wareham,Local Road,2.758778917,-36809,7
warren,Collector,-2.950318744,-5664,NA
warren,Interstate,-0.9514444311,-4657305,-4
wendell,Collector,-1.630379379,7212,NA
wenham,Arterial,-2.670296975,-10033,-9
west boylston,Collector,4.854849725,-27345,-3
west bridgewater,Arterial,3.115102104,-292976,-12
west bridgewater,Freeway & Expressway,4.52729621,-4146362,-1
west brookfield,Arterial,-4.8829205,-21986,NA
west springfield,Arterial,-2.33278903,-1136078,-43
west springfield,Local Road,12.08978027,6780,-2
west tisbury,Collector,-0.4861157284,3506457,NA
westborough,Arterial,6.098933507,10366435,-35
westborough,Collector,4.309840935,-22031,0
westfield,Arterial,-1.579077993,34614,1
westfield,Collector,0.8860510042,12617,-4
westfield,Interstate,0.963503908,-3653259,-12
westford,Arterial,19.12624922,29102,-36
westhampton,Collector,-13.57362967,-5751,-3
weston,Interstate,3.840461929,-13244064,-5
westport,Collector,-1.668361485,-47028,-4
whately,Collector,-5.08934433,-26499,-1
whitman,Arterial,-7.267095515,76150,6
williamsburg,Arterial,-8.369038711,24391,2
williamstown,Arterial,0.333184644,-48067,6
wilmington,Interstate,-0.6487267575,-22376842,5
windsor,Arterial,2.464146115,394204,NA
woburn,Interstate,4.379861905,105598219,-5
worcester,Arterial,6.917886489,12074256,-279
worcester,Collector,3.600304167,-37785,-37
worcester,Interstate,5.951453225,49582739,8
yarmouth,Arterial,-0.9083197371,6459,-12
yarmouth,Collector,-3.280084598,-4290,NA