Eruption ID,Geyser,Date,Time,Waiting,Webcam,Duration
1473854,Old Faithful,8/19/24,538,180,Yes,235
1473352,Old Faithful,8/15/24,1541,184,Yes,259
1473337,Old Faithful,8/15/24,1425,116,Yes,137
1473334,Old Faithful,8/15/24,1237,188,Yes,222
1473331,Old Faithful,8/15/24,1131,106,Yes,105
1473328,Old Faithful,8/15/24,944,187,Yes,180
1473207,Old Faithful,8/14/24,1231,182,Yes,244
1473201,Old Faithful,8/14/24,1041,190,Yes,278
1473137,Old Faithful,8/13/24,1810,138,Yes,249
1473108,Old Faithful,8/13/24,1624,186,Yes,262
1473097,Old Faithful,8/13/24,1443,181,Yes,240
1472976,Old Faithful,8/12/24,1424,184,Yes,249
1472646,Old Faithful,8/10/24,1335,183,Yes,294
1472635,Old Faithful,8/10/24,1227,108,Yes,109
1472620,Old Faithful,8/10/24,1048,179,Yes,277
1472552,Old Faithful,8/9/24,1857,159,Yes,119
1472473,Old Faithful,8/9/24,1541,179,Yes,259
1472354,Old Faithful,8/8/24,1558,181,Yes,232
1472350,Old Faithful,8/8/24,1417,141,Yes,192
1472345,Old Faithful,8/8/24,1246,171,Yes,245
1472331,Old Faithful,8/8/24,1105,141,Yes,219
1472094,Old Faithful,8/5/24,1940,106,No,120
1472065,Old Faithful,8/5/24,1335,176,No,300
1471723,Old Faithful,8/2/24,1538,182,No,241
1471619,Old Faithful,8/1/24,1455,150,Yes,167
1471605,Old Faithful,8/1/24,1311,144,Yes,280
1471592,Old Faithful,8/1/24,1205,106,Yes,114
1471579,Old Faithful,8/1/24,1019,186,Yes,221
1471447,Old Faithful,7/30/24,1731,177,Yes,263
1471441,Old Faithful,7/30/24,1356,187,Yes,239
1470995,Old Faithful,7/27/24,1150,183,Yes,277
1470893,Old Faithful,7/26/24,1641,190,Yes,290
1470879,Old Faithful,7/26/24,1532,109,Yes,125
1470875,Old Faithful,7/26/24,1358,174,Yes,267
1470740,Old Faithful,7/25/24,1443,183,Yes,241
1470724,Old Faithful,7/25/24,1135,173,Yes,215
1470601,Old Faithful,7/24/24,1913,115,Yes,150
1470544,Old Faithful,7/24/24,1407,141,Yes,265
1470445,Old Faithful,7/23/24,1830,188,Yes,234
1470439,Old Faithful,7/23/24,1653,177,Yes,241
1470419,Old Faithful,7/23/24,1334,175,Yes,238
1469851,Old Faithful,7/20/24,1108,195,Yes,247
1469791,Old Faithful,7/19/24,1713,106,Yes,124
1469784,Old Faithful,7/19/24,1522,191,Yes,279
1469773,Old Faithful,7/19/24,1419,103,Yes,117
1469650,Old Faithful,7/18/24,1545,190,Yes,262
1469646,Old Faithful,7/18/24,1440,105,Yes,103
1469603,Old Faithful,7/18/24,1256,184,Yes,243
1469584,Old Faithful,7/18/24,1117,139,Yes,236
1469577,Old Faithful,7/18/24,940,177,Yes,258
1469437,Old Faithful,7/17/24,1157,176,Yes,236
1469329,Old Faithful,7/16/24,1840,191,Yes,241
1469299,Old Faithful,7/16/24,1344,177,Yes,259
1469195,Old Faithful,7/15/24,1527,176,Yes,245
1469170,Old Faithful,7/15/24,1034,169,Yes,245
1468142,Old Faithful,7/8/24,1653,167,Yes,168
1468130,Old Faithful,7/8/24,1452,201,Yes,256
1468112,Old Faithful,7/8/24,1322,130,Yes,233
1467964,Old Faithful,7/7/24,940,111,Yes,157
1467963,Old Faithful,7/7/24,1253,103,Yes,99
1467753,Old Faithful,7/5/24,1547,168,Yes,228
1467746,Old Faithful,7/5/24,1410,137,Yes,233
1467574,Old Faithful,7/4/24,1215,111,Yes,115
1467565,Old Faithful,7/4/24,1043,172,Yes,236
1467486,Old Faithful,7/3/24,1509,192,Yes,281
1467483,Old Faithful,7/3/24,1353,156,Yes,119
1467462,Old Faithful,7/3/24,1052,158,Yes,102
1467353,Old Faithful,7/2/24,1808,138,Yes,236
1467340,Old Faithful,7/2/24,1423,195,Yes,268
1467272,Old Faithful,7/2/24,1311,112,Yes,111
1467070,Old Faithful,7/1/24,1005,140,Yes,228
1467056,Old Faithful,7/1/24,1145,191,Yes,246
1466509,Old Faithful,6/28/24,1745,187,Yes,267
1466494,Old Faithful,6/28/24,1611,134,Yes,247
1466484,Old Faithful,6/28/24,1416,195,Yes,283
1466251,Old Faithful,6/27/24,1346,176,Yes,240
1466244,Old Faithful,6/27/24,1202,144,Yes,266
1466229,Old Faithful,6/27/24,1024,178,Yes,211
1466128,Old Faithful,6/26/24,1401,146,Yes,265
1466113,Old Faithful,6/26/24,1218,183,No,180
1465909,Old Faithful,6/25/24,729,200,No,255
1464963,Old Faithful,6/20/24,1421,181,Yes,249
1464949,Old Faithful,6/20/24,1242,179,Yes,220
1464907,Old Faithful,6/20/24,1053,189,Yes,227
1464686,Old Faithful,6/18/24,1627,183,Yes,277
1464683,Old Faithful,6/18/24,1525,102,Yes,102
1464674,Old Faithful,6/18/24,1202,131,Yes,255
1464190,Old Faithful,6/16/24,1347,155,Yes,135
1463909,Old Faithful,6/14/24,1731,180,Yes,257
1463894,Old Faithful,6/14/24,1537,194,Yes,277
1463893,Old Faithful,6/14/24,1422,115,Yes,108
1463706,Old Faithful,6/13/24,1545,111,Yes,104
1463697,Old Faithful,6/13/24,1400,145,Yes,253
1463677,Old Faithful,6/13/24,1252,148,Yes,114
1463655,Old Faithful,6/13/24,1106,146,Yes,255
1463460,Old Faithful,6/12/24,1512,146,Yes,274
1463234,Old Faithful,6/11/24,1716,140,Yes,222
1463039,Old Faithful,6/10/24,1520,187,Yes,282
1463038,Old Faithful,6/10/24,1707,140,Yes,243
1462512,Old Faithful,6/8/24,1154,186,Yes,257
1462320,Old Faithful,6/7/24,1723,178,Yes,266
1462316,Old Faithful,6/7/24,1537,186,Yes,270
1462220,Old Faithful,6/7/24,1357,180,Yes,241
1462123,Old Faithful,6/7/24,723,125,Yes,136
1462008,Old Faithful,6/6/24,1816,187,No,215
1461934,Old Faithful,6/6/24,1455,182,Yes,241
1461911,Old Faithful,6/6/24,1323,132,Yes,230
1461893,Old Faithful,6/6/24,1130,193,Yes,222
1461337,Old Faithful,6/4/24,1409,134,Yes,121
1461302,Old Faithful,6/4/24,1117,107,Yes,116
1461192,Old Faithful,6/3/24,1458,174,Yes,258
1461175,Old Faithful,6/3/24,1317,141,Yes,259
1460909,Old Faithful,6/2/24,1157,182,Yes,264
1460898,Old Faithful,6/2/24,912,108,Yes,119